client_id,age,revenu_annuel_k,frequence_achat_mois,panier_moyen,score_engagement,sensibilite_promo,canal_prefere,region
C0412,40,58.7,3.9,105.87,93.9,23.2,mobile,periurbain
C0413,49,54.0,4.67,47.37,75.6,73.8,magasin,rural
C0414,35,58.1,2.9,69.91,46.5,51.4,mobile,rural
C0415,56,48.0,3.3,59.76,47.1,73.0,web,urbain
C0416,29,32.9,3.59,46.75,80.3,89.3,web,rural
C0417,23,29.7,5.23,52.74,55.5,85.5,mobile,urbain
C0418,55,38.5,1.85,87.75,36.4,52.4,mobile,rural
C0419,37,95.4,5.02,147.34,81.3,32.4,magasin,urbain
C0420,35,78.7,3.61,136.77,77.5,14.6,magasin,rural
C0421,45,74.2,5.01,157.28,87.6,18.1,magasin,periurbain
C0422,29,18.0,3.99,68.55,67.7,74.7,web,periurbain
C0423,50,35.4,3.26,84.63,56.0,64.1,magasin,urbain
C0424,35,39.0,2.43,51.84,71.2,82.7,mobile,periurbain
C0425,50,47.2,1.59,66.92,60.5,74.8,mobile,periurbain
C0426,59,50.6,3.75,71.27,65.5,70.1,mobile,rural
C0427,49,101.0,5.47,126.97,79.4,32.0,web,rural
C0428,35,43.6,2.7,31.96,70.3,85.1,web,urbain
C0429,32,32.3,2.08,26.21,75.4,60.7,mobile,periurbain
C0430,45,50.5,3.58,40.72,83.9,99.0,mobile,urbain
C0431,34,92.5,5.1,175.44,74.4,0.2,web,periurbain
C0432,28,49.5,3.31,71.8,51.6,58.1,web,periurbain
C0433,25,36.2,4.19,44.02,60.1,80.2,mobile,urbain
C0434,38,20.2,3.1,45.95,87.0,77.5,mobile,urbain
C0435,43,68.4,2.85,73.6,62.5,59.9,magasin,urbain
C0436,30,32.1,2.63,57.64,80.0,76.5,mobile,periurbain
C0437,33,68.3,2.83,154.5,69.4,13.3,magasin,rural
C0438,28,47.1,2.46,68.12,43.4,45.9,mobile,rural
C0439,31,24.9,4.02,57.64,79.0,77.9,mobile,periurbain
C0440,29,29.4,3.6,44.55,60.1,71.8,mobile,urbain
C0441,29,84.9,3.71,155.98,84.3,4.4,magasin,periurbain
C0442,23,35.4,2.77,43.17,56.8,64.1,mobile,urbain
C0443,27,31.0,3.32,27.79,67.2,84.7,magasin,urbain
C0444,34,103.1,3.42,155.06,93.5,33.8,mobile,urbain
C0445,47,56.4,3.63,124.09,93.9,32.6,web,urbain
C0446,34,69.2,5.58,89.99,96.9,37.9,web,rural
C0447,38,56.2,4.08,155.28,94.4,14.7,mobile,periurbain
C0448,27,30.8,2.13,49.1,63.3,80.0,mobile,urbain
C0449,29,30.3,3.35,33.26,75.8,98.5,web,urbain
C0450,28,84.8,3.5,86.31,78.1,42.3,magasin,periurbain
C0451,49,50.4,1.22,70.47,62.2,62.1,web,periurbain
C0452,42,53.4,0.62,71.08,60.0,70.2,magasin,rural
C0453,33,47.7,4.21,173.06,95.1,36.5,magasin,rural
C0454,26,31.0,5.8,30.69,91.4,78.8,mobile,urbain
C0455,46,40.6,1.33,77.93,72.1,49.9,web,urbain
C0456,28,36.4,4.94,41.29,94.3,84.2,mobile,urbain
C0457,40,44.6,3.46,82.32,41.5,62.1,magasin,periurbain
C0458,34,38.1,3.87,46.66,87.0,68.7,mobile,periurbain
C0459,27,25.8,4.25,56.76,64.8,58.1,web,urbain
C0460,32,35.4,3.46,26.65,78.2,73.7,mobile,urbain
C0461,38,41.9,2.52,69.69,73.6,62.2,magasin,periurbain
C0462,42,55.7,2.05,80.54,62.4,37.3,magasin,periurbain
C0463,39,37.0,2.91,75.56,63.0,62.3,magasin,periurbain
C0464,44,63.1,5.96,195.42,100.0,14.5,web,periurbain
C0465,32,27.6,6.11,32.7,51.7,77.3,mobile,urbain
C0466,18,32.2,1.31,38.16,91.7,85.6,mobile,urbain
C0467,39,90.5,3.23,158.74,62.4,20.4,mobile,urbain
C0468,26,37.1,3.83,25.13,60.2,84.0,mobile,urbain
C0469,38,71.6,4.12,162.37,79.9,26.9,web,periurbain
C0470,18,38.3,2.99,38.18,62.6,79.4,web,rural
C0471,52,96.4,5.46,88.43,74.8,0.0,magasin,urbain
C0472,32,30.2,3.77,33.73,74.5,89.7,mobile,urbain
C0473,46,74.5,5.3,236.51,83.2,32.7,magasin,urbain
C0474,45,49.9,1.68,77.71,78.5,65.4,web,rural
C0475,45,87.0,3.65,149.15,76.1,20.4,magasin,periurbain
C0476,22,40.4,4.49,33.54,53.5,80.6,mobile,urbain
C0477,39,27.9,2.25,68.5,66.9,51.6,web,periurbain
C0478,49,78.0,5.46,140.79,93.1,23.4,mobile,rural
C0479,34,62.2,2.5,77.99,75.3,47.6,magasin,rural
C0480,46,42.1,2.48,75.3,37.0,50.7,web,rural
C0481,51,56.9,2.54,78.38,53.9,76.3,magasin,urbain
C0482,50,40.2,4.0,46.45,80.8,55.5,web,urbain
C0483,40,29.1,2.19,55.28,49.5,58.4,magasin,rural
C0484,44,37.0,1.81,106.38,47.7,79.9,web,urbain
C0485,48,104.9,4.49,124.41,83.6,32.1,magasin,rural
C0486,33,45.1,4.26,45.74,53.8,55.7,mobile,rural
C0487,26,33.9,3.73,55.53,73.0,74.5,mobile,periurbain
C0488,43,73.4,3.95,140.95,84.1,33.8,web,urbain
C0489,36,96.3,4.3,129.38,91.9,19.5,magasin,urbain
C0490,39,38.3,2.44,82.85,57.9,63.7,mobile,rural
C0491,55,44.6,2.85,64.83,46.2,53.0,mobile,urbain
C0492,26,34.9,6.62,33.41,67.0,81.4,web,urbain
C0493,31,34.1,5.34,12.88,43.4,77.0,web,periurbain
C0494,50,32.3,0.4,84.28,61.4,46.9,web,urbain
C0495,30,27.0,4.39,10.0,61.7,70.7,mobile,urbain
C0496,48,29.4,2.64,84.05,84.0,54.2,magasin,rural
C0497,31,18.0,0.93,52.14,71.9,93.8,mobile,urbain
C0498,54,89.6,4.88,138.3,71.4,44.3,magasin,urbain
C0499,26,60.8,6.04,125.84,95.6,27.1,magasin,urbain
C0500,38,55.0,2.62,46.22,60.3,86.4,web,rural
C0501,50,50.1,2.79,54.35,61.3,72.4,magasin,periurbain
C0502,28,24.9,5.0,38.56,81.1,79.1,magasin,urbain
C0503,41,46.1,3.48,170.53,82.9,21.7,web,urbain
C0504,28,47.0,2.06,56.6,57.0,64.4,web,periurbain
C0505,36,39.8,2.87,44.44,66.5,83.9,mobile,periurbain
C0506,43,74.3,3.12,130.7,93.7,9.7,magasin,urbain
C0507,31,67.7,4.18,90.2,76.2,36.4,web,urbain
C0508,34,95.2,4.4,121.74,84.4,7.1,magasin,rural
C0509,39,58.1,1.59,94.3,60.2,56.0,mobile,periurbain
C0510,51,37.2,1.91,92.65,49.7,70.8,web,periurbain
C0511,47,36.5,3.28,77.59,64.6,52.3,magasin,urbain
C0512,25,76.3,5.54,144.72,99.6,40.3,magasin,urbain
C0513,39,53.5,3.66,118.37,67.7,28.6,web,urbain
C0514,31,37.7,4.07,38.11,79.1,88.8,mobile,urbain
C0515,31,41.6,3.08,67.18,65.7,82.3,mobile,urbain
C0516,19,27.6,2.49,43.62,83.9,88.5,mobile,urbain
C0517,25,118.8,4.9,110.82,85.3,30.1,magasin,urbain
C0518,34,74.7,3.91,87.86,85.2,35.0,magasin,periurbain
C0519,31,27.7,4.81,25.71,61.2,72.4,magasin,urbain
C0520,50,57.4,3.04,93.29,45.7,64.2,magasin,rural
C0521,41,56.5,2.5,67.07,65.6,70.5,web,urbain
C0522,31,40.0,4.8,159.31,86.1,4.6,mobile,rural
C0523,36,42.1,5.97,99.99,94.0,39.4,web,urbain
C0524,42,66.8,4.7,121.1,69.8,1.2,mobile,periurbain
C0525,38,55.0,3.66,69.09,53.2,66.0,magasin,urbain
C0526,46,54.8,0.86,60.3,45.7,61.2,magasin,periurbain
C0527,26,28.0,5.18,45.56,87.2,84.9,mobile,urbain
C0528,20,37.3,5.23,64.19,82.1,93.6,mobile,urbain
C0529,46,89.5,4.71,151.56,86.6,43.4,magasin,periurbain
C0530,46,91.3,4.14,164.48,72.8,40.6,magasin,urbain
C0531,29,87.1,3.75,157.37,83.7,8.9,magasin,urbain
C0532,42,71.6,5.48,138.05,87.2,16.5,web,urbain
C0533,48,64.8,1.88,93.38,27.6,45.7,magasin,urbain
C0534,31,57.7,3.02,152.45,82.3,32.6,magasin,urbain
C0535,45,86.8,5.26,135.57,74.5,40.7,web,urbain
C0536,38,65.6,4.18,150.04,86.8,17.2,web,urbain
C0537,26,40.6,4.4,66.9,86.2,93.4,mobile,urbain
C0538,42,42.5,2.75,91.01,65.0,49.5,magasin,rural
C0539,33,26.9,4.06,38.36,69.4,89.7,mobile,urbain
C0540,25,71.2,4.97,158.45,83.2,27.3,web,rural
C0541,52,56.4,3.39,56.61,56.9,56.4,magasin,urbain
C0542,26,37.2,2.52,62.63,61.2,84.2,mobile,periurbain
C0543,48,42.3,3.37,51.87,78.3,60.2,mobile,rural
C0544,38,45.0,3.33,63.48,47.5,57.3,web,rural
C0545,22,46.6,3.12,51.98,74.5,72.2,magasin,urbain
C0546,28,41.5,5.03,53.03,66.5,71.2,mobile,urbain
C0547,46,26.3,2.59,76.85,54.1,75.5,magasin,periurbain
C0548,40,57.4,4.07,97.61,42.7,57.0,mobile,urbain
C0549,36,90.8,5.29,108.64,84.5,3.8,web,rural
C0550,52,42.9,2.65,68.43,74.0,25.9,mobile,periurbain
C0551,35,113.1,3.71,165.01,86.9,43.1,web,urbain
C0552,50,52.3,1.21,64.29,63.4,70.1,web,periurbain
C0553,46,35.8,0.78,23.02,69.4,61.5,magasin,periurbain
C0554,44,111.1,3.21,136.79,71.1,25.2,magasin,urbain
C0555,42,54.2,3.23,112.79,53.6,48.7,mobile,periurbain
C0556,38,29.7,3.12,36.34,80.6,80.4,web,urbain
C0557,24,32.3,4.58,22.42,77.8,71.4,mobile,periurbain
C0558,45,101.9,5.46,146.8,82.1,21.1,web,rural
C0559,52,41.0,1.67,85.98,46.9,48.6,web,urbain
C0560,41,50.4,3.46,83.48,55.3,57.6,magasin,periurbain
C0561,30,28.2,2.61,24.66,80.0,87.8,mobile,rural
C0562,37,28.1,4.95,41.54,64.7,87.9,web,periurbain
C0563,29,31.7,6.67,56.21,80.7,83.1,web,periurbain
C0564,29,29.6,3.7,10.0,74.5,77.1,mobile,periurbain
C0565,34,47.5,1.66,82.52,62.1,71.5,mobile,rural
C0566,36,48.3,1.37,86.63,65.3,65.9,magasin,periurbain
C0567,53,45.1,2.72,54.45,45.8,61.2,web,rural
C0568,37,74.7,4.07,148.32,72.0,43.4,magasin,urbain
C0569,21,37.4,4.61,46.61,60.1,84.5,mobile,urbain
C0570,49,56.0,2.61,56.45,67.0,60.2,web,periurbain
C0571,39,103.6,3.5,40.0,86.2,31.5,web,urbain
C0572,60,44.9,3.26,62.29,28.7,58.0,mobile,urbain
C0573,41,50.6,2.46,51.25,64.8,36.6,magasin,periurbain
C0574,43,81.0,3.2,113.22,81.9,8.8,magasin,urbain
C0575,50,74.5,5.36,71.01,89.3,18.4,mobile,rural
C0576,31,30.0,5.38,31.51,79.5,79.2,mobile,urbain
C0577,32,81.7,4.54,146.44,84.7,37.6,web,periurbain
C0578,48,36.1,3.13,85.16,31.2,61.1,mobile,urbain
C0579,37,26.8,2.83,42.91,80.2,80.6,mobile,periurbain
C0580,28,42.7,2.09,82.63,21.3,90.6,magasin,rural
C0581,48,124.2,5.47,171.21,85.0,26.3,web,urbain
C0582,37,34.5,2.53,43.68,60.7,59.6,mobile,urbain
C0583,30,27.8,7.49,58.32,57.1,84.3,mobile,urbain
C0584,33,52.3,1.99,91.42,71.9,76.5,magasin,rural
C0585,24,35.8,4.56,36.31,62.7,98.1,magasin,urbain
C0586,24,22.2,3.12,40.51,59.2,81.9,mobile,urbain
C0587,33,36.8,3.33,29.79,59.7,78.3,web,periurbain
C0588,26,22.8,4.12,32.12,65.8,95.3,mobile,periurbain
C0589,21,33.7,5.08,37.49,88.2,94.9,web,periurbain
C0590,39,34.4,4.5,58.97,77.4,77.0,web,urbain
C0591,33,46.6,3.59,34.56,79.5,73.5,magasin,urbain
C0592,29,41.8,4.98,25.2,79.0,79.9,mobile,urbain
C0593,39,40.3,2.91,25.98,67.4,86.3,web,urbain
C0594,45,99.5,4.93,89.37,82.4,40.7,magasin,urbain
C0595,40,37.7,2.49,79.56,48.8,57.2,magasin,urbain
C0596,40,62.5,3.98,72.54,43.9,35.0,web,periurbain
C0597,37,32.9,4.27,15.35,57.6,90.9,mobile,rural
C0598,32,45.1,3.53,42.83,74.3,100.0,mobile,urbain
C0599,28,36.5,3.01,41.41,80.5,100.0,mobile,periurbain
