attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,epss_score,exploit_maturity,days_since_published,severity
network,low,high,none,changed,none,none,none,0.1014,unproven,109,low
adjacent,high,low,required,unchanged,low,none,high,0.1184,unproven,11,medium
physical,low,none,required,unchanged,low,none,none,0.0722,unproven,364,low
network,low,low,none,changed,high,low,low,0.2034,poc,288,high
network,high,none,none,unchanged,high,low,high,0.06,poc,241,high
adjacent,high,none,required,unchanged,none,low,high,0.0874,poc,48,medium
network,high,none,required,unchanged,high,low,none,0.2818,unproven,33,medium
network,high,none,required,unchanged,low,none,high,0.0628,unproven,283,medium
network,low,high,none,unchanged,high,low,none,0.0124,unproven,198,medium
network,low,high,none,unchanged,low,none,high,0.3228,unproven,122,medium
network,low,none,none,changed,high,none,high,0.2552,poc,767,critical
network,high,high,required,unchanged,high,high,low,0.0389,functional,321,medium
network,low,none,required,unchanged,none,low,low,0.0376,poc,518,medium
local,high,none,none,unchanged,high,low,low,0.0814,functional,472,medium
network,low,none,none,changed,none,high,low,0.0704,unproven,191,critical
local,low,none,none,changed,high,none,high,0.0477,unproven,106,critical
network,high,high,required,unchanged,low,low,high,0.0835,unproven,156,medium
network,low,none,none,unchanged,high,none,low,0.0097,poc,344,high
local,high,high,required,changed,high,low,high,0.0609,unproven,406,high
network,high,high,none,unchanged,high,high,high,0.0996,unproven,357,medium
network,high,high,required,unchanged,low,high,low,0.193,poc,448,medium
network,low,none,none,unchanged,high,high,low,0.0181,unproven,135,critical
local,low,low,required,unchanged,none,high,none,0.0906,unproven,404,medium
local,low,low,none,unchanged,low,high,low,0.0715,unproven,386,medium
adjacent,high,low,none,changed,high,high,high,0.1218,unproven,103,high
network,low,high,required,unchanged,none,low,high,0.0755,poc,316,medium
network,low,none,none,unchanged,high,high,high,0.0337,poc,263,critical
network,high,high,none,unchanged,high,none,low,0.1618,poc,129,medium
local,high,none,none,unchanged,high,low,none,0.1482,unproven,85,medium
local,high,none,required,unchanged,none,low,none,0.1203,functional,115,low
network,high,high,required,changed,low,none,low,0.0535,poc,335,low
adjacent,high,high,none,unchanged,low,none,low,0.0736,functional,183,low
adjacent,high,none,none,unchanged,high,none,none,0.1936,unproven,61,medium
network,low,none,none,unchanged,none,high,low,0.0612,unproven,153,high
local,low,low,required,unchanged,none,high,low,0.2205,functional,134,medium
network,high,low,none,unchanged,none,low,high,0.0214,poc,205,medium
physical,low,low,required,unchanged,none,low,low,0.1009,unproven,259,low
local,low,none,none,changed,none,low,low,0.1268,functional,401,medium
adjacent,low,low,none,changed,low,none,low,0.1473,poc,307,medium
local,low,low,none,changed,high,low,none,0.1854,unproven,155,high
network,low,low,required,unchanged,high,low,low,0.1628,unproven,97,medium
network,low,low,none,unchanged,low,none,high,0.2732,unproven,138,medium
adjacent,low,low,required,unchanged,high,low,low,0.0431,unproven,100,medium
network,low,none,required,unchanged,low,none,high,0.1532,poc,293,high
network,low,none,required,unchanged,low,none,low,0.0544,functional,257,medium
physical,high,high,none,unchanged,high,low,none,0.0699,poc,181,medium
physical,high,none,none,unchanged,high,low,none,0.1468,unproven,180,medium
network,low,none,required,unchanged,low,low,none,0.1533,unproven,473,medium
network,high,none,required,unchanged,low,high,none,0.1394,unproven,108,medium
adjacent,low,low,none,unchanged,none,none,none,0.1268,functional,263,low
network,low,none,required,unchanged,low,none,high,0.2676,poc,511,medium
adjacent,high,none,none,unchanged,high,low,high,0.0884,functional,144,high
local,low,high,required,unchanged,high,low,low,0.1839,functional,341,medium
network,low,low,required,unchanged,none,high,low,0.1503,functional,187,medium
network,low,low,none,unchanged,high,high,low,0.0423,unproven,93,high
physical,low,low,none,unchanged,high,high,low,0.0966,unproven,380,medium
network,low,none,none,unchanged,low,none,high,0.0647,functional,68,high
adjacent,high,low,required,unchanged,low,low,low,0.0644,unproven,199,low
physical,low,none,none,unchanged,none,none,none,0.0467,unproven,347,low
adjacent,high,none,none,unchanged,high,none,low,0.0611,poc,256,medium
network,high,low,none,unchanged,none,high,high,0.0407,functional,531,medium
adjacent,low,low,none,changed,low,high,high,0.0897,unproven,182,critical
adjacent,low,none,none,unchanged,low,none,low,0.0947,unproven,167,medium
network,low,none,required,changed,high,none,high,0.1534,poc,99,critical
local,high,low,none,unchanged,low,high,none,0.1404,functional,9,medium
network,high,none,required,unchanged,high,none,high,0.1584,unproven,247,medium
network,high,low,none,unchanged,high,none,none,0.0378,high,634,medium
network,low,none,required,unchanged,none,high,low,0.0626,functional,499,high
network,low,low,required,changed,low,low,high,0.0892,unproven,260,high
local,low,high,none,changed,high,none,low,0.4057,unproven,198,medium
network,low,high,required,unchanged,none,high,none,0.1838,unproven,102,low
network,low,high,required,unchanged,low,low,low,0.0563,poc,153,medium
network,high,none,required,changed,high,high,high,0.2666,functional,252,high
local,high,high,required,changed,low,low,high,0.2083,poc,408,medium
adjacent,low,none,required,changed,high,high,high,0.0698,unproven,316,high
adjacent,high,none,required,unchanged,low,low,none,0.095,unproven,198,low
network,low,none,none,unchanged,high,low,none,0.0296,unproven,345,high
adjacent,low,low,none,unchanged,high,high,low,0.0126,unproven,245,high
local,high,none,none,unchanged,high,none,low,0.1445,poc,81,medium
local,low,none,none,unchanged,high,low,none,0.048,unproven,77,medium
adjacent,low,low,none,unchanged,high,none,low,0.0849,poc,211,medium
network,low,low,required,changed,high,none,high,0.1077,poc,276,high
local,low,none,required,unchanged,none,none,none,0.0631,poc,411,low
local,low,low,none,unchanged,high,none,high,0.1865,unproven,216,medium
network,low,none,required,unchanged,low,high,high,0.2618,functional,334,high
local,low,none,none,changed,low,none,high,0.0984,high,46,high
network,low,low,required,unchanged,high,high,low,0.0817,functional,219,high
network,low,none,required,unchanged,high,high,high,0.1413,unproven,578,high
network,high,none,required,unchanged,high,low,high,0.2738,poc,127,medium
network,low,none,required,unchanged,none,none,high,0.2231,unproven,353,high
local,low,low,required,unchanged,high,none,low,0.0731,unproven,262,medium
adjacent,low,none,none,unchanged,none,low,low,0.0409,unproven,55,medium
adjacent,low,low,none,unchanged,none,none,none,0.1077,poc,99,low
adjacent,low,none,required,unchanged,none,low,high,0.0618,functional,95,medium
local,low,high,none,unchanged,low,low,high,0.0558,unproven,509,medium
local,low,none,required,unchanged,high,none,high,0.0568,unproven,261,medium
local,low,none,none,unchanged,low,none,high,0.1328,unproven,197,high
network,low,low,required,unchanged,low,none,high,0.1937,unproven,184,medium
network,low,none,required,changed,high,none,high,0.2567,unproven,213,critical
network,high,high,required,unchanged,high,high,none,0.0959,unproven,68,medium
network,high,none,required,changed,none,low,none,0.159,high,335,low
network,high,none,none,changed,low,low,high,0.1285,unproven,182,high
network,low,none,none,unchanged,low,high,none,0.0704,unproven,457,high
physical,low,high,none,unchanged,low,high,low,0.1835,unproven,517,medium
network,low,none,none,changed,low,high,high,0.0066,functional,587,critical
network,high,none,required,unchanged,none,high,low,0.0177,unproven,56,medium
network,low,low,required,unchanged,none,high,low,0.0441,poc,441,medium
local,low,low,required,unchanged,high,low,low,0.0231,poc,358,medium
network,high,none,required,unchanged,high,none,low,0.1796,unproven,426,medium
local,low,low,none,unchanged,low,high,none,0.0341,unproven,396,medium
network,low,none,none,unchanged,none,none,none,0.1877,unproven,523,low
network,high,high,required,unchanged,low,high,high,0.054,poc,328,medium
network,low,high,none,unchanged,high,low,low,0.2439,unproven,285,medium
local,low,high,none,unchanged,none,none,low,0.0779,high,174,low
network,high,none,none,unchanged,none,high,high,0.0691,unproven,83,high
network,low,low,required,unchanged,high,low,none,0.2452,unproven,621,medium
network,high,none,none,unchanged,none,high,high,0.0499,unproven,292,high
network,low,none,required,unchanged,high,high,low,0.1683,poc,111,high
network,low,low,required,unchanged,none,low,high,0.0413,poc,62,medium
adjacent,low,low,none,changed,high,none,high,0.2882,unproven,153,high
physical,high,high,required,unchanged,low,high,high,0.1703,unproven,416,medium
local,low,none,none,unchanged,high,none,none,0.0401,poc,399,medium
network,low,none,none,unchanged,low,none,none,0.117,functional,602,medium
network,low,none,none,unchanged,none,high,low,0.0509,unproven,110,high
network,low,high,required,unchanged,high,high,none,0.0092,functional,83,medium
network,low,none,none,unchanged,high,high,high,0.1485,poc,275,critical
network,low,none,none,unchanged,none,low,low,0.0855,functional,87,medium
local,low,none,required,unchanged,high,low,low,0.218,poc,111,medium
network,low,none,required,unchanged,low,low,none,0.0221,poc,208,medium
adjacent,low,low,none,unchanged,low,low,high,0.0197,unproven,255,medium
network,high,low,none,changed,low,none,high,0.1847,unproven,558,high
local,high,low,none,changed,high,low,low,0.1752,unproven,163,medium
network,low,low,required,unchanged,low,high,low,0.0325,poc,453,medium
local,high,high,required,unchanged,none,low,none,0.0041,poc,121,low
adjacent,low,low,required,unchanged,low,low,high,0.1839,poc,361,medium
network,low,low,none,unchanged,low,low,low,0.0614,unproven,134,medium
local,high,none,none,unchanged,high,high,high,0.0099,unproven,122,high
network,high,high,none,unchanged,none,none,high,0.1771,unproven,8,low
adjacent,high,low,none,unchanged,low,high,none,0.4042,high,247,medium
network,low,low,none,changed,high,high,none,0.0274,unproven,47,critical
physical,low,low,required,changed,none,high,none,0.0389,unproven,192,medium
adjacent,high,low,required,unchanged,low,high,high,0.0547,poc,288,medium
network,high,none,required,unchanged,low,none,high,0.033,poc,274,medium
physical,low,high,none,changed,low,high,low,0.1624,poc,89,medium
network,low,none,none,changed,none,high,high,0.1466,poc,196,critical
local,high,low,required,unchanged,low,none,none,0.0869,unproven,140,low
adjacent,low,none,required,unchanged,high,none,high,0.1029,unproven,469,high
network,low,low,none,unchanged,high,low,low,0.1044,poc,336,high
local,high,none,none,unchanged,low,high,high,0.3401,functional,249,medium
adjacent,low,none,required,unchanged,low,high,none,0.0625,high,110,medium
network,low,low,required,unchanged,none,high,low,0.1449,poc,279,medium
local,low,high,none,unchanged,low,none,low,0.0647,unproven,603,low
adjacent,low,high,none,unchanged,high,high,high,0.0701,unproven,358,medium
network,high,high,required,unchanged,low,high,high,0.2273,poc,117,medium
network,low,none,required,changed,low,low,none,0.0204,unproven,859,medium
network,low,none,none,unchanged,high,low,none,0.0945,poc,67,high
network,low,none,required,changed,none,high,none,0.3657,functional,238,high
network,low,none,none,unchanged,none,low,low,0.0995,high,188,medium
local,low,low,none,changed,none,low,none,0.1324,unproven,153,low
network,low,high,none,unchanged,none,low,high,0.0531,functional,170,medium
network,low,none,required,unchanged,high,low,none,0.0378,functional,138,high
network,high,none,none,unchanged,high,low,low,0.1126,high,152,high
local,low,none,none,unchanged,low,low,low,0.073,unproven,17,medium
network,low,low,required,unchanged,none,high,high,0.1294,unproven,377,high
network,high,none,none,unchanged,low,none,none,0.0099,functional,31,low
network,low,high,required,unchanged,high,none,high,0.1401,unproven,74,medium
physical,high,none,required,changed,none,low,high,0.1517,unproven,198,medium
network,low,high,none,changed,high,low,none,0.2012,unproven,279,medium
adjacent,high,low,none,unchanged,high,none,high,0.2146,functional,208,medium
local,high,none,required,unchanged,none,none,none,0.0341,poc,80,low
physical,low,high,none,unchanged,low,low,none,0.0509,unproven,219,low
network,low,none,required,unchanged,none,low,low,0.1145,unproven,296,medium
adjacent,low,low,none,changed,high,high,none,0.115,unproven,619,medium
network,high,low,none,changed,none,none,none,0.204,functional,236,low
network,high,none,none,unchanged,high,low,low,0.006,functional,100,medium
network,low,low,none,changed,none,low,none,0.2266,poc,250,medium
network,high,high,none,unchanged,high,low,high,0.0469,functional,623,medium
network,high,high,required,changed,high,low,none,0.0929,unproven,92,medium
local,low,low,none,unchanged,none,high,low,0.027,poc,158,medium
physical,low,low,required,unchanged,none,high,high,0.1646,unproven,468,medium
network,low,none,none,unchanged,high,low,high,0.1711,poc,745,critical
network,low,none,none,unchanged,high,low,none,0.1246,poc,62,high
adjacent,low,none,required,unchanged,none,high,high,0.0214,unproven,214,medium
network,low,none,none,unchanged,high,none,none,0.0973,functional,44,high
network,low,low,none,unchanged,high,none,low,0.0526,poc,204,high
physical,high,none,none,unchanged,low,none,high,0.2066,unproven,338,medium
local,low,low,none,changed,high,none,high,0.0372,unproven,282,high
network,low,low,required,unchanged,high,low,low,0.0389,functional,89,high
network,high,high,none,unchanged,none,low,none,0.0402,poc,257,low
network,low,none,required,unchanged,none,low,low,0.0202,unproven,262,medium
network,high,none,required,changed,low,low,high,0.0633,unproven,257,high
network,high,none,none,unchanged,high,high,none,0.0683,unproven,246,high
network,high,low,none,unchanged,none,none,none,0.1911,unproven,92,low
adjacent,low,none,required,unchanged,low,low,high,0.0141,poc,280,medium
local,low,none,none,unchanged,high,none,low,0.1108,poc,701,medium
adjacent,low,low,required,unchanged,low,low,low,0.1113,unproven,57,medium
network,low,low,none,changed,low,high,low,0.0948,poc,791,high
local,high,low,none,changed,none,none,high,0.0774,unproven,335,medium
local,high,high,required,unchanged,low,low,low,0.1154,poc,182,low
local,low,none,required,changed,none,high,low,0.1702,high,370,high
network,low,none,required,unchanged,high,none,high,0.0948,unproven,264,high
local,high,none,none,unchanged,low,low,none,0.1475,unproven,424,medium
adjacent,low,none,none,unchanged,none,high,high,0.0553,high,104,high
network,low,none,none,changed,high,low,low,0.1454,unproven,89,critical
network,low,low,required,unchanged,none,low,none,0.1348,unproven,46,medium
network,low,none,none,unchanged,high,high,high,0.0906,poc,127,critical
network,low,none,none,unchanged,low,none,low,0.1188,unproven,290,high
local,low,high,none,changed,none,low,high,0.0813,functional,93,medium
adjacent,low,none,none,unchanged,low,high,high,0.2051,high,35,high
network,low,none,none,unchanged,high,low,none,0.0494,functional,121,high
network,low,high,none,unchanged,low,high,none,0.321,unproven,71,medium
network,low,low,none,unchanged,low,low,low,0.07,unproven,94,medium
local,low,none,required,changed,low,low,low,0.0868,high,661,medium
adjacent,high,none,none,changed,high,high,none,0.1648,unproven,45,high
network,low,high,required,unchanged,low,high,none,0.0156,poc,230,medium
network,high,low,none,unchanged,none,low,none,0.0695,functional,174,low
network,low,none,required,unchanged,high,none,low,0.0261,functional,261,high
adjacent,low,none,none,changed,high,none,low,0.1472,poc,245,high
adjacent,low,high,none,unchanged,low,high,none,0.2371,unproven,60,medium
network,low,low,required,unchanged,none,none,low,0.0467,poc,150,low
network,low,low,required,unchanged,low,none,low,0.0228,poc,44,medium
network,low,none,required,unchanged,low,low,high,0.1831,unproven,99,high
adjacent,low,low,required,unchanged,none,low,high,0.1049,unproven,345,medium
network,high,high,none,unchanged,high,high,low,0.264,unproven,419,medium
local,low,none,none,unchanged,high,high,high,0.0486,unproven,69,high
local,low,none,required,unchanged,none,low,high,0.1787,high,56,medium
network,high,high,none,unchanged,none,high,high,0.0411,functional,169,medium
network,low,low,none,unchanged,low,low,low,0.0226,unproven,172,medium
network,low,low,none,unchanged,high,low,high,0.0405,unproven,123,high
adjacent,low,high,none,changed,none,low,none,0.027,functional,27,low
local,high,low,required,unchanged,none,none,low,0.0232,unproven,338,low
physical,low,none,none,unchanged,low,low,low,0.1617,high,133,medium
network,low,none,required,unchanged,high,none,none,0.0956,unproven,41,medium
network,low,low,required,changed,none,high,low,0.1458,functional,227,medium
network,low,low,required,unchanged,high,low,none,0.0154,high,74,medium
network,low,none,none,unchanged,none,low,high,0.113,unproven,296,high
adjacent,low,none,none,unchanged,high,high,none,0.2003,unproven,1670,high
local,low,low,none,unchanged,low,high,none,0.0467,functional,287,medium
network,low,none,required,unchanged,high,low,high,0.0372,unproven,460,high
network,low,high,required,changed,low,high,high,0.1323,poc,323,high
adjacent,low,low,none,unchanged,none,high,low,0.1628,poc,393,medium
adjacent,high,none,none,unchanged,high,low,none,0.0068,functional,89,medium
network,low,low,none,unchanged,none,high,high,0.0683,poc,371,high
network,low,high,none,changed,high,low,high,0.0962,unproven,219,high
adjacent,high,low,none,unchanged,none,low,low,0.0715,functional,345,low
network,low,none,required,changed,high,none,none,0.2405,high,7,high
network,low,none,required,changed,high,none,low,0.0291,functional,203,high
network,low,low,required,unchanged,high,high,high,0.0351,unproven,252,high
network,low,low,none,unchanged,high,low,none,0.2981,poc,41,medium
network,low,none,required,unchanged,high,low,high,0.2424,poc,522,high
adjacent,high,none,required,unchanged,low,low,low,0.2774,unproven,529,medium
network,high,none,required,unchanged,low,none,none,0.3001,high,102,low
network,high,high,required,unchanged,high,none,high,0.0107,functional,72,medium
network,high,low,required,unchanged,low,none,high,0.061,poc,651,medium
local,high,high,required,changed,high,none,high,0.0947,functional,210,medium
network,high,none,none,unchanged,none,high,none,0.0591,poc,164,medium
network,high,none,none,unchanged,low,low,low,0.0142,poc,174,medium
network,high,low,none,unchanged,none,high,high,0.177,poc,177,high
adjacent,low,high,none,unchanged,high,none,high,0.1161,unproven,161,medium
network,high,none,none,unchanged,low,none,none,0.1106,unproven,161,low
network,low,high,none,unchanged,low,low,high,0.1541,poc,207,medium
network,low,none,none,unchanged,high,high,none,0.0611,poc,270,critical
network,high,none,none,unchanged,high,none,high,0.2957,functional,435,medium
local,low,low,none,unchanged,low,low,high,0.1892,functional,92,medium
network,low,none,none,unchanged,low,high,high,0.1594,poc,187,critical
network,low,low,required,unchanged,none,low,none,0.0649,unproven,458,low
network,low,none,required,unchanged,high,low,none,0.0403,functional,82,medium
network,high,none,none,unchanged,none,high,high,0.0476,unproven,316,high
network,low,none,required,unchanged,low,high,none,0.1116,unproven,88,high
network,low,none,none,changed,low,high,low,0.3308,unproven,172,critical
adjacent,low,none,required,unchanged,none,low,none,0.2046,unproven,201,low
adjacent,high,low,none,unchanged,none,low,high,0.0968,unproven,98,medium
adjacent,high,none,required,unchanged,none,none,low,0.0902,unproven,223,low
local,low,low,required,unchanged,high,high,none,0.1378,unproven,487,medium
network,high,high,none,changed,high,low,low,0.1189,unproven,567,medium
adjacent,high,low,none,changed,low,none,none,0.2319,functional,291,low
network,high,none,none,unchanged,high,high,high,0.0325,unproven,499,high
network,high,high,required,unchanged,high,low,high,0.2008,functional,337,medium
network,low,none,none,unchanged,low,high,high,0.0518,unproven,140,critical
adjacent,low,none,none,changed,none,none,high,0.5442,poc,713,high
network,low,low,none,unchanged,high,none,high,0.1374,functional,168,high
local,low,none,required,changed,high,high,none,0.028,unproven,426,high
network,high,none,none,unchanged,low,low,high,0.009,unproven,296,medium
network,high,none,none,changed,low,high,low,0.0515,unproven,617,high
network,high,low,none,unchanged,none,high,high,0.0551,unproven,248,medium
local,low,high,required,unchanged,low,none,none,0.1775,poc,220,low
local,low,none,required,unchanged,none,low,high,0.4393,high,94,medium
network,high,low,required,unchanged,low,low,high,0.0706,functional,46,medium
network,low,high,none,unchanged,none,low,low,0.0969,poc,261,low
network,high,none,required,changed,high,low,none,0.0586,unproven,158,high
adjacent,low,none,required,changed,high,high,low,0.0273,unproven,96,high
local,low,high,none,unchanged,high,high,low,0.0587,poc,50,medium
physical,low,low,none,unchanged,low,high,high,0.2083,poc,123,medium
local,low,low,required,unchanged,none,low,high,0.2304,functional,141,medium
adjacent,high,none,none,unchanged,high,high,low,0.0394,unproven,32,medium
network,low,none,required,changed,high,high,low,0.0305,unproven,234,critical
adjacent,high,none,required,unchanged,low,low,high,0.2208,unproven,113,medium
network,low,low,none,unchanged,none,none,low,0.0862,poc,280,medium
physical,low,none,none,unchanged,high,high,high,0.0294,unproven,86,high
network,low,high,required,changed,high,low,low,0.0556,poc,213,medium
local,low,low,none,unchanged,low,low,none,0.1161,unproven,268,medium
adjacent,high,none,none,unchanged,high,high,none,0.0411,unproven,162,medium
local,low,none,required,changed,low,none,none,0.1019,unproven,389,low
network,low,low,none,unchanged,none,none,high,0.1443,poc,150,medium
network,low,none,required,unchanged,low,low,none,0.1907,poc,210,medium
network,low,low,none,unchanged,none,none,high,0.1376,functional,524,medium
network,low,high,required,changed,none,low,high,0.0799,functional,225,medium
network,high,low,none,unchanged,high,low,none,0.2686,unproven,184,medium
network,low,high,none,unchanged,high,low,high,0.1507,poc,599,medium
network,low,low,none,changed,none,none,low,0.1453,poc,89,medium
physical,low,high,none,unchanged,low,none,low,0.509,unproven,272,low
adjacent,high,high,required,unchanged,low,low,low,0.0063,unproven,78,medium
local,low,none,required,unchanged,low,low,none,0.0126,unproven,282,medium
local,high,low,none,changed,low,high,none,0.2223,poc,83,medium
network,low,none,none,unchanged,low,low,high,0.0651,functional,236,high
network,low,none,none,unchanged,high,none,high,0.011,high,175,critical
local,low,none,none,unchanged,low,high,high,0.1314,unproven,400,high
network,low,high,required,changed,none,low,high,0.022,unproven,101,medium
adjacent,low,none,none,changed,none,none,low,0.0523,unproven,228,low
physical,high,low,none,unchanged,high,none,low,0.0308,unproven,389,medium
network,low,none,none,unchanged,low,low,low,0.0787,functional,63,high
network,low,high,none,unchanged,none,low,low,0.1133,poc,78,low
network,low,high,required,unchanged,none,high,high,0.0631,unproven,373,medium
network,high,none,none,unchanged,none,high,high,0.0694,poc,550,high
local,low,low,none,unchanged,none,low,high,0.1809,unproven,130,medium
network,low,none,required,unchanged,low,high,high,0.0639,poc,335,high
adjacent,high,high,required,unchanged,low,high,low,0.064,poc,234,medium
network,high,low,none,unchanged,none,none,none,0.0749,unproven,457,low
local,low,none,none,unchanged,low,low,low,0.0325,unproven,76,medium
local,low,none,required,unchanged,none,high,none,0.0445,poc,13,medium
network,low,high,required,changed,low,high,high,0.037,poc,274,high
adjacent,low,none,none,unchanged,high,low,high,0.3735,high,167,high
network,low,low,none,unchanged,low,low,high,0.2148,unproven,250,high
adjacent,low,low,none,unchanged,low,none,high,0.2024,functional,246,medium
network,low,high,required,unchanged,none,high,high,0.1047,functional,83,medium
network,high,none,none,unchanged,low,high,low,0.0385,unproven,427,medium
local,low,high,none,unchanged,low,high,low,0.1145,unproven,171,medium
physical,low,none,none,changed,low,low,high,0.1084,unproven,54,high
local,low,low,none,changed,high,low,none,0.0767,functional,34,medium
adjacent,low,high,required,unchanged,low,low,none,0.0957,unproven,210,low
local,high,high,required,unchanged,low,low,low,0.1912,functional,92,low
network,low,none,none,unchanged,none,none,low,0.0585,functional,361,medium
network,low,high,required,unchanged,high,none,none,0.1573,poc,218,medium
network,low,none,required,changed,high,low,none,0.1746,unproven,266,high
local,low,low,required,changed,none,none,none,0.127,poc,664,low
adjacent,low,none,none,unchanged,high,high,high,0.0531,unproven,60,high
local,high,low,none,unchanged,none,high,low,0.1044,unproven,397,medium
physical,high,high,required,unchanged,low,high,none,0.3905,poc,39,medium
network,low,low,none,unchanged,low,none,high,0.2117,unproven,194,high
network,high,none,required,changed,none,low,high,0.0702,poc,355,high
network,low,low,none,unchanged,none,high,none,0.0936,unproven,45,medium
network,high,none,required,unchanged,high,none,low,0.0344,high,185,medium
network,high,high,none,unchanged,low,high,high,0.034,unproven,231,medium
network,low,none,required,unchanged,high,low,low,0.3854,unproven,113,high
local,high,low,none,changed,none,high,low,0.1155,unproven,246,medium
network,low,none,none,unchanged,low,high,none,0.0452,poc,195,high
local,low,low,none,unchanged,none,low,low,0.1046,unproven,131,low
adjacent,high,high,none,changed,low,low,low,0.0342,poc,69,medium
network,low,low,none,changed,high,none,low,0.1063,unproven,162,high
local,low,high,none,unchanged,low,high,low,0.0286,unproven,108,medium
local,high,low,none,unchanged,high,low,high,0.099,unproven,84,high
network,low,none,none,unchanged,high,high,high,0.0274,poc,312,critical
network,low,none,required,unchanged,none,none,low,0.0699,poc,215,medium
network,high,none,none,unchanged,low,low,low,0.014,functional,151,medium
network,low,low,none,unchanged,low,high,high,0.0144,functional,254,high
network,low,high,required,unchanged,none,low,none,0.0316,poc,266,low
adjacent,high,none,required,unchanged,low,none,none,0.2315,unproven,54,low
adjacent,low,high,required,unchanged,high,high,high,0.0703,high,90,high
network,high,none,required,unchanged,low,none,high,0.2038,poc,128,medium
network,high,low,none,unchanged,high,high,low,0.1836,poc,152,medium
adjacent,low,none,required,unchanged,high,high,low,0.1344,unproven,323,high
network,low,low,none,unchanged,low,high,low,0.112,unproven,136,high
local,low,none,none,unchanged,none,high,high,0.1763,unproven,177,medium
local,high,low,required,unchanged,none,low,low,0.0436,unproven,216,low
adjacent,low,low,none,unchanged,low,low,high,0.2144,poc,154,medium
network,low,low,required,unchanged,low,low,high,0.0634,unproven,45,medium
network,low,none,required,changed,high,high,high,0.0272,unproven,542,critical
network,high,none,required,unchanged,none,high,high,0.1414,unproven,153,medium
adjacent,low,none,required,changed,high,high,none,0.024,poc,521,high
local,low,none,required,unchanged,low,none,high,0.071,functional,22,medium
network,high,none,required,unchanged,high,high,none,0.2712,poc,184,medium
network,low,low,required,unchanged,high,low,none,0.1238,unproven,332,medium
network,low,high,required,unchanged,none,none,high,0.0189,unproven,26,medium
local,low,none,none,unchanged,high,low,high,0.1267,unproven,208,high
local,low,none,none,unchanged,high,none,high,0.1899,unproven,392,high
network,high,low,none,changed,low,none,none,0.0805,unproven,208,low
network,low,low,none,unchanged,high,none,high,0.1134,high,238,high
network,low,none,required,unchanged,high,none,low,0.0059,unproven,287,medium
local,low,none,required,unchanged,none,high,none,0.0185,poc,453,medium
physical,high,none,none,unchanged,low,low,high,0.0363,unproven,208,medium
network,low,high,none,unchanged,none,none,none,0.0853,functional,284,low
network,low,low,required,changed,high,low,low,0.1811,unproven,212,high
network,low,low,none,unchanged,low,none,none,0.0884,poc,454,medium
local,low,low,none,unchanged,high,high,high,0.2459,unproven,56,high
network,low,high,required,unchanged,high,high,low,0.0548,poc,317,medium
adjacent,low,low,none,unchanged,none,low,low,0.0429,poc,164,medium
network,low,low,required,unchanged,high,low,low,0.0688,functional,427,medium
network,low,none,none,changed,low,high,high,0.1144,unproven,421,critical
network,high,high,none,changed,none,high,high,0.0073,functional,356,high
network,low,none,required,unchanged,high,none,low,0.5691,unproven,300,high
network,low,high,none,unchanged,none,low,high,0.0133,functional,117,medium
network,low,none,none,unchanged,low,low,low,0.0873,unproven,290,high
network,high,none,none,unchanged,low,high,low,0.0793,poc,217,medium
adjacent,low,none,none,unchanged,high,none,high,0.0968,poc,359,high
network,high,high,required,changed,none,none,high,0.0634,high,284,medium
network,low,low,required,unchanged,high,none,high,0.0902,poc,106,high
adjacent,high,none,required,unchanged,none,low,high,0.0273,poc,565,medium
local,low,none,none,unchanged,high,low,high,0.0175,unproven,220,high
network,low,none,none,unchanged,low,none,high,0.0457,unproven,74,high
network,low,none,none,unchanged,high,high,high,0.057,high,101,critical
physical,high,low,none,changed,high,low,high,0.1213,poc,308,high
network,low,none,required,unchanged,low,none,none,0.0502,unproven,273,low
adjacent,high,none,none,unchanged,high,none,none,0.251,unproven,51,medium
network,low,high,required,changed,high,none,none,0.0645,functional,246,medium
adjacent,low,high,required,changed,high,low,low,0.1054,unproven,443,medium
network,high,high,none,unchanged,low,none,high,0.1488,unproven,307,medium
network,high,low,required,unchanged,low,high,high,0.1596,unproven,568,high
adjacent,low,high,none,unchanged,high,low,low,0.1403,high,79,medium
adjacent,low,low,none,changed,high,low,high,0.2277,high,177,high
local,low,none,required,unchanged,low,high,none,0.1833,unproven,368,medium
network,low,low,required,unchanged,none,low,none,0.1421,unproven,424,low
network,low,low,none,unchanged,low,low,none,0.0291,unproven,256,medium
adjacent,low,none,none,unchanged,low,none,none,0.0032,unproven,139,low
local,low,none,none,unchanged,low,none,high,0.2677,unproven,209,medium
adjacent,low,high,none,unchanged,high,none,high,0.0654,poc,237,medium
local,low,low,required,unchanged,low,low,low,0.0389,unproven,170,medium
network,low,none,none,changed,high,low,low,0.2697,poc,126,critical
local,high,high,none,unchanged,none,none,none,0.0461,unproven,561,low
network,high,low,none,unchanged,high,high,high,0.4663,poc,164,high
network,low,none,required,unchanged,high,high,low,0.0438,poc,560,high
local,low,none,none,unchanged,low,low,none,0.1182,unproven,163,medium
network,low,high,none,unchanged,none,high,high,0.3079,unproven,199,medium
network,low,high,none,unchanged,high,high,low,0.0454,poc,70,high
network,low,low,required,unchanged,none,high,none,0.0745,unproven,454,medium
