asset_id,asset_type,segment,business_criticality,data_sensitivity,internet_exposed,privileged_access,cvss_score,epss_score,known_exploited,kev_ransomware,kev_age_days,kev_overdue,patch_age_days,open_ports,failed_logins_7d,external_alerts_30d,edr_coverage,risk_score,risk_label
A01111,server,dmz,medium,restricted,1,1,5.9,0.29,0,0,0,0,32,5,18,4,full,57.6,high
A01112,workstation,server_lan,medium,internal,0,0,6.6,0.521,1,0,397,1,23,3,9,0,partial,50.3,medium
A01113,web_app,server_lan,low,confidential,1,0,4.2,0.209,0,0,0,0,21,7,26,7,full,49.8,medium
A01114,firewall,ot,medium,restricted,1,0,8.7,0.545,0,0,0,0,130,8,21,2,none,74.9,critical
A01115,firewall,server_lan,high,public,0,1,5.9,0.275,0,0,0,0,628,6,11,4,none,47.2,medium
A01116,server,cloud,medium,internal,1,1,6.2,0.732,0,0,0,0,449,9,25,3,partial,84.0,critical
A01117,server,server_lan,low,public,1,0,7.7,0.179,0,0,0,0,18,14,25,5,full,30.4,medium
A01118,cloud_vm,dmz,medium,restricted,1,1,7.1,0.583,0,0,0,0,32,11,27,3,full,73.0,critical
A01119,workstation,cloud,medium,restricted,1,0,5.8,0.292,0,0,0,0,194,8,24,4,full,67.2,high
A01120,cloud_vm,dmz,high,confidential,1,0,5.1,0.279,1,0,111,1,85,10,15,8,partial,100.0,critical
A01121,web_app,dmz,critical,internal,1,0,8.9,0.243,0,0,0,0,45,5,23,3,partial,54.2,high
A01122,server,server_lan,medium,restricted,1,1,5.3,0.28,0,0,0,0,42,14,21,3,partial,77.0,critical
A01123,cloud_vm,user_lan,high,public,0,0,4.7,0.522,0,0,0,0,44,6,5,2,partial,0.0,low
A01124,server,server_lan,low,public,1,1,5.8,0.367,0,0,0,0,29,7,21,5,full,35.1,medium
A01125,workstation,dmz,critical,confidential,0,0,7.3,0.449,0,0,0,0,22,3,12,2,full,33.8,medium
A01126,database,server_lan,medium,confidential,0,1,5.0,0.412,0,0,0,0,57,6,4,0,full,31.5,medium
A01127,database,server_lan,medium,restricted,0,1,7.6,0.723,0,0,0,0,224,2,7,1,partial,57.6,high
A01128,web_app,dmz,low,internal,1,1,5.9,0.321,0,0,0,0,45,9,24,2,partial,56.5,high
A01129,web_app,user_lan,low,internal,1,1,7.5,0.419,0,0,0,0,496,6,27,1,full,58.1,high
A01130,firewall,dmz,high,internal,1,0,4.4,0.555,0,0,0,0,42,4,32,3,partial,71.0,high
A01131,firewall,server_lan,low,public,0,1,7.7,0.252,1,1,463,0,8,7,5,1,partial,30.6,medium
A01132,database,user_lan,low,restricted,1,0,6.6,0.48,1,1,366,1,57,11,19,3,partial,85.7,critical
A01133,server,cloud,low,internal,1,0,6.6,0.777,0,0,0,0,279,9,24,4,full,47.8,medium
A01134,web_app,server_lan,critical,public,0,0,3.6,0.118,0,0,0,0,5,6,12,1,full,23.5,medium
A01135,firewall,server_lan,high,internal,0,0,8.0,0.421,1,1,39,0,5,4,7,0,full,46.9,medium
A01136,workstation,server_lan,critical,confidential,0,1,5.8,0.291,0,0,0,0,654,3,3,0,full,42.5,medium
A01137,database,ot,high,restricted,1,1,7.1,0.349,0,0,0,0,29,9,22,3,partial,92.2,critical
A01138,workstation,server_lan,critical,public,0,1,6.5,0.415,0,0,0,0,550,4,10,1,full,33.8,medium
A01139,server,server_lan,medium,public,1,0,5.2,0.471,0,0,0,0,431,9,25,5,full,65.3,high
A01140,web_app,user_lan,low,restricted,0,0,8.8,0.232,0,0,0,0,9,4,7,1,full,10.1,low
A01141,workstation,server_lan,medium,internal,1,1,8.0,0.268,0,0,0,0,107,11,20,4,partial,73.2,critical
A01142,cloud_vm,server_lan,low,internal,0,1,4.9,0.35,1,0,234,1,612,4,5,1,full,35.9,medium
A01143,cloud_vm,dmz,high,public,0,1,4.9,0.201,0,0,0,0,284,6,5,1,partial,45.1,medium
A01144,cloud_vm,user_lan,low,restricted,1,0,3.6,0.308,0,0,0,0,490,12,17,4,full,44.1,medium
A01145,workstation,user_lan,low,confidential,0,1,5.2,0.261,0,0,0,0,50,2,8,2,partial,34.3,medium
A01146,workstation,user_lan,high,public,1,0,4.5,0.101,0,0,0,0,19,6,21,3,full,48.2,medium
A01147,cloud_vm,cloud,low,public,1,1,8.7,0.475,1,0,621,1,337,6,25,2,partial,86.4,critical
A01148,cloud_vm,server_lan,low,public,1,1,3.8,0.109,0,0,0,0,13,10,19,6,full,46.8,medium
A01149,database,ot,low,internal,1,0,6.7,0.264,1,1,215,1,228,8,18,7,full,65.7,high
A01150,cloud_vm,cloud,high,public,1,0,8.2,0.425,0,0,0,0,584,12,25,5,full,93.5,critical
A01151,server,cloud,low,internal,1,1,6.3,0.459,0,0,0,0,194,2,15,2,full,52.9,high
A01152,cloud_vm,cloud,low,public,0,1,6.9,0.227,0,0,0,0,15,1,9,0,full,11.5,low
A01153,server,server_lan,low,internal,0,1,7.1,0.477,0,0,0,0,553,5,6,0,full,2.6,low
A01154,server,server_lan,high,internal,1,0,5.3,0.345,0,0,0,0,701,7,26,1,full,45.5,medium
A01155,database,user_lan,low,internal,1,1,6.7,0.297,0,0,0,0,49,8,27,4,full,60.3,high
A01156,server,dmz,low,confidential,1,0,6.2,0.253,0,0,0,0,24,9,15,4,full,43.0,medium
A01157,server,user_lan,critical,internal,1,0,4.5,0.33,0,0,0,0,38,13,23,5,partial,63.1,high
A01158,server,dmz,high,restricted,0,0,7.7,0.177,0,0,0,0,636,9,8,2,full,54.5,high
A01159,workstation,dmz,low,restricted,0,1,6.0,0.125,0,0,0,0,357,3,9,0,full,25.1,medium
A01160,cloud_vm,ot,low,restricted,1,1,8.2,0.281,0,0,0,0,59,8,20,3,partial,69.9,high
A01161,server,user_lan,low,public,1,1,2.2,0.156,0,0,0,0,11,7,18,6,full,45.9,medium
A01162,web_app,user_lan,high,internal,1,0,4.7,0.357,0,0,0,0,45,10,31,6,partial,59.1,high
A01163,cloud_vm,server_lan,low,confidential,1,1,3.8,0.154,0,0,0,0,29,15,22,2,partial,48.0,medium
A01164,server,user_lan,critical,public,1,0,6.7,0.202,0,0,0,0,25,7,17,2,full,49.2,medium
A01165,server,cloud,high,public,1,0,7.4,0.413,0,0,0,0,34,11,30,5,full,65.4,high
A01166,cloud_vm,user_lan,medium,public,1,0,8.2,0.202,0,0,0,0,32,10,18,4,full,31.3,medium
A01167,cloud_vm,user_lan,low,confidential,1,0,5.4,0.343,1,0,363,0,2,9,19,7,partial,60.4,high
A01168,database,user_lan,critical,confidential,0,1,6.0,0.158,0,0,0,0,21,9,14,0,partial,64.6,high
A01169,cloud_vm,server_lan,high,internal,0,0,5.8,0.818,0,0,0,0,529,3,5,2,full,33.3,medium
A01170,server,user_lan,high,restricted,0,0,6.9,0.158,0,0,0,0,61,8,7,0,partial,42.0,medium
A01171,workstation,ot,low,confidential,1,0,3.3,0.236,0,0,0,0,54,6,18,5,none,55.4,high
A01172,web_app,user_lan,high,public,0,0,6.3,0.614,0,0,0,0,26,5,9,2,partial,38.2,medium
A01173,workstation,server_lan,high,internal,1,0,6.1,0.372,0,0,0,0,576,12,25,4,full,54.3,high
A01174,cloud_vm,user_lan,critical,public,0,0,6.2,0.393,0,0,0,0,34,6,5,2,full,38.2,medium
A01175,database,user_lan,medium,restricted,1,0,8.2,0.257,0,0,0,0,19,10,21,4,full,49.1,medium
A01176,cloud_vm,ot,medium,confidential,0,1,4.5,0.183,0,0,0,0,5,3,6,1,none,49.6,medium
A01177,database,user_lan,medium,confidential,1,0,5.6,0.191,0,0,0,0,45,8,16,4,full,50.5,medium
A01178,workstation,server_lan,high,confidential,0,0,4.1,0.465,0,0,0,0,378,5,3,0,full,27.9,medium
A01179,server,server_lan,critical,internal,1,0,6.6,0.533,0,0,0,0,257,13,22,4,full,62.0,high
A01180,server,user_lan,medium,restricted,0,0,5.7,0.255,0,0,0,0,459,2,9,2,full,25.0,medium
A01181,cloud_vm,dmz,low,restricted,1,0,5.5,0.423,0,0,0,0,30,8,20,2,partial,47.6,medium
A01182,server,user_lan,low,confidential,1,1,8.1,0.661,0,0,0,0,416,10,23,1,full,67.8,high
A01183,server,cloud,medium,internal,0,0,6.9,0.32,0,0,0,0,45,6,10,1,partial,27.7,medium
A01184,server,user_lan,high,public,1,1,8.4,0.335,0,0,0,0,4,9,27,5,full,54.0,high
A01185,server,server_lan,low,public,1,1,7.5,0.276,0,0,0,0,8,10,22,6,full,49.3,medium
A01186,cloud_vm,cloud,medium,public,1,1,3.5,0.201,0,0,0,0,580,10,23,3,full,63.1,high
A01187,workstation,user_lan,critical,confidential,0,0,2.4,0.132,0,0,0,0,497,3,6,2,full,20.1,low
A01188,firewall,server_lan,medium,confidential,0,1,4.5,0.215,0,0,0,0,487,2,11,1,partial,56.2,high
A01189,server,user_lan,low,restricted,1,1,5.8,0.309,0,0,0,0,30,8,23,4,full,55.7,high
A01190,web_app,user_lan,medium,public,0,0,6.1,0.589,0,0,0,0,29,4,11,0,partial,0.0,low
A01191,workstation,cloud,medium,internal,0,0,4.5,0.098,0,0,0,0,21,3,5,0,full,20.0,low
A01192,workstation,dmz,low,public,1,0,4.8,0.347,0,0,0,0,48,11,24,2,full,29.9,medium
A01193,cloud_vm,server_lan,high,restricted,1,0,5.0,0.176,0,0,0,0,50,5,28,3,full,39.1,medium
A01194,firewall,user_lan,medium,confidential,1,1,6.0,0.269,0,0,0,0,31,9,22,9,full,49.3,medium
A01195,cloud_vm,dmz,high,internal,1,0,6.6,0.293,0,0,0,0,32,9,20,1,full,36.5,medium
A01196,server,server_lan,medium,confidential,1,1,7.4,0.238,0,0,0,0,25,4,13,5,full,46.0,medium
A01197,server,cloud,low,confidential,1,0,7.4,0.256,0,0,0,0,329,3,25,3,partial,70.0,high
A01198,web_app,server_lan,low,internal,0,1,5.9,0.194,0,0,0,0,286,5,8,1,full,0.0,low
A01199,workstation,user_lan,low,public,0,0,5.6,0.139,0,0,0,0,28,7,7,2,full,0.0,low
A01200,web_app,ot,low,internal,0,0,7.7,0.179,0,0,0,0,551,3,10,2,partial,57.3,high
A01201,database,user_lan,high,internal,1,0,8.1,0.214,0,0,0,0,58,4,16,7,partial,64.5,high
A01202,database,user_lan,low,internal,1,1,5.2,0.291,0,0,0,0,2,8,20,2,partial,47.8,medium
A01203,cloud_vm,user_lan,high,internal,0,0,4.7,0.406,0,0,0,0,31,7,7,0,partial,24.7,medium
A01204,web_app,server_lan,low,confidential,0,1,5.6,0.168,0,0,0,0,404,9,7,1,partial,52.3,high
A01205,server,server_lan,low,confidential,0,0,5.8,0.195,0,0,0,0,44,5,3,0,partial,0.3,low
A01206,server,user_lan,low,internal,0,1,8.0,0.196,0,0,0,0,44,1,12,2,full,34.7,medium
A01207,web_app,server_lan,medium,restricted,1,0,4.9,0.295,0,0,0,0,54,5,15,4,full,61.5,high
A01208,database,server_lan,high,internal,0,0,8.7,0.209,0,0,0,0,644,8,8,1,full,31.6,medium
A01209,workstation,dmz,high,confidential,1,0,9.4,0.336,0,0,0,0,45,8,20,0,full,50.4,medium
A01210,workstation,cloud,low,public,1,0,7.4,0.443,0,0,0,0,436,15,19,2,partial,72.1,high
A01211,cloud_vm,dmz,medium,confidential,1,0,2.5,0.607,0,0,0,0,37,3,21,5,partial,74.9,critical
A01212,cloud_vm,cloud,high,internal,1,1,6.6,0.297,0,0,0,0,57,6,22,3,full,51.0,medium
A01213,database,server_lan,medium,public,1,0,7.3,0.365,1,1,756,1,49,10,21,2,full,46.9,medium
A01214,workstation,user_lan,low,public,1,0,6.9,0.366,0,0,0,0,453,5,13,4,full,48.2,medium
A01215,workstation,server_lan,low,confidential,0,0,8.6,0.598,0,0,0,0,441,6,13,1,full,6.3,low
A01216,database,server_lan,low,confidential,0,1,8.4,0.391,0,0,0,0,624,3,9,0,partial,47.0,medium
A01217,workstation,user_lan,critical,confidential,1,0,9.4,0.575,0,0,0,0,43,7,24,3,partial,60.7,high
A01218,database,user_lan,medium,internal,0,0,4.6,0.261,0,0,0,0,35,9,12,3,none,31.8,medium
A01219,web_app,server_lan,medium,confidential,0,0,8.4,0.176,0,0,0,0,436,5,6,1,partial,30.2,medium
A01220,server,user_lan,high,confidential,1,0,9.1,0.615,1,1,47,1,67,8,25,6,full,93.9,critical
A01221,server,user_lan,medium,internal,1,0,3.7,0.254,0,0,0,0,30,8,19,4,full,38.7,medium
A01222,server,server_lan,high,internal,1,1,6.4,0.616,1,1,172,0,13,16,22,6,partial,97.2,critical
A01223,cloud_vm,user_lan,low,internal,1,0,8.1,0.203,0,0,0,0,465,5,19,3,full,43.2,medium
A01224,web_app,server_lan,medium,confidential,0,1,6.9,0.277,1,0,201,1,46,8,5,1,full,60.8,high
A01225,server,user_lan,low,internal,0,0,6.4,0.174,0,0,0,0,38,6,12,1,full,4.0,low
A01226,cloud_vm,dmz,low,internal,1,1,6.0,0.294,0,0,0,0,600,8,27,3,full,67.7,high
A01227,database,user_lan,low,restricted,1,0,2.8,0.439,0,0,0,0,11,14,20,6,none,62.8,high
A01228,database,server_lan,high,restricted,1,1,7.5,0.299,0,0,0,0,24,13,23,9,full,77.4,critical
A01229,firewall,user_lan,high,internal,1,1,6.8,0.324,0,0,0,0,442,11,23,3,full,58.7,high
A01230,server,user_lan,high,restricted,1,0,6.2,0.354,0,0,0,0,358,11,18,5,full,69.5,high
A01231,server,ot,low,public,1,1,6.6,0.692,0,0,0,0,50,17,28,1,partial,66.5,high
A01232,web_app,user_lan,critical,restricted,1,1,2.3,0.414,0,0,0,0,58,7,20,5,full,57.1,high
A01233,server,cloud,low,public,1,0,3.5,0.131,0,0,0,0,31,10,17,1,partial,34.2,medium
A01234,web_app,server_lan,high,internal,1,0,6.6,0.217,0,0,0,0,219,11,13,3,full,53.7,high
A01235,server,server_lan,high,restricted,1,1,5.4,0.169,0,0,0,0,174,6,26,4,partial,81.5,critical
A01236,server,dmz,medium,public,1,1,5.4,0.444,0,0,0,0,608,12,18,2,full,47.4,medium
A01237,server,user_lan,medium,confidential,1,1,4.9,0.214,0,0,0,0,614,10,27,5,full,77.9,critical
A01238,workstation,user_lan,high,internal,0,0,3.4,0.154,0,0,0,0,153,3,8,0,partial,14.2,low
A01239,server,cloud,high,public,1,1,6.7,0.441,0,0,0,0,10,11,15,3,full,54.9,high
A01240,server,user_lan,low,restricted,0,0,5.9,0.439,0,0,0,0,23,4,9,1,full,14.8,low
A01241,cloud_vm,user_lan,high,internal,1,0,5.8,0.493,0,0,0,0,22,7,23,5,full,39.3,medium
A01242,workstation,server_lan,low,restricted,0,0,7.3,0.626,1,0,388,1,378,4,5,4,partial,59.5,high
A01243,workstation,dmz,medium,restricted,1,0,6.4,0.432,0,0,0,0,4,10,30,5,full,63.4,high
A01244,server,cloud,high,public,1,0,5.1,0.194,0,0,0,0,0,6,28,4,full,52.7,high
A01245,workstation,server_lan,high,internal,0,0,7.3,0.587,0,0,0,0,210,1,10,0,partial,39.8,medium
A01246,workstation,dmz,medium,internal,1,0,5.6,0.363,0,0,0,0,512,9,14,4,full,48.7,medium
A01247,web_app,ot,low,internal,0,1,8.5,0.719,0,0,0,0,103,6,7,0,partial,45.8,medium
A01248,server,ot,medium,public,1,0,3.5,0.222,0,0,0,0,32,10,17,7,none,55.9,high
A01249,cloud_vm,user_lan,low,internal,1,1,8.8,0.286,0,0,0,0,232,10,22,2,full,65.2,high
A01250,firewall,server_lan,medium,confidential,0,1,4.0,0.352,0,0,0,0,1,9,9,1,partial,46.7,medium
A01251,server,cloud,medium,public,1,1,6.0,0.552,0,0,0,0,490,9,23,4,partial,65.8,high
A01252,server,server_lan,high,confidential,1,1,3.4,0.339,0,0,0,0,601,17,25,3,full,79.1,critical
A01253,server,user_lan,low,internal,0,1,3.4,0.565,0,0,0,0,176,2,9,1,full,17.4,low
A01254,web_app,server_lan,low,public,1,0,5.7,0.213,0,0,0,0,25,6,31,3,partial,30.0,medium
A01255,server,ot,medium,public,1,0,8.8,0.699,0,0,0,0,376,8,27,3,full,61.6,high
A01256,cloud_vm,ot,low,public,1,1,7.4,0.242,0,0,0,0,29,11,27,2,none,47.9,medium
A01257,cloud_vm,user_lan,low,confidential,1,0,4.1,0.636,0,0,0,0,331,5,21,4,full,41.8,medium
A01258,cloud_vm,dmz,medium,public,0,1,9.4,0.463,0,0,0,0,6,7,10,1,partial,47.6,medium
A01259,database,user_lan,medium,confidential,1,0,3.5,0.531,1,1,132,1,28,12,17,4,none,90.7,critical
A01260,firewall,server_lan,low,confidential,1,0,6.4,0.429,0,0,0,0,15,12,19,3,partial,47.5,medium
A01261,server,cloud,medium,public,1,1,8.7,0.366,0,0,0,0,400,5,22,3,partial,67.9,high
A01262,workstation,dmz,high,restricted,1,0,3.0,0.117,0,0,0,0,28,9,12,4,partial,69.5,high
A01263,workstation,dmz,medium,restricted,1,0,6.0,0.221,0,0,0,0,41,6,22,5,partial,59.5,high
A01264,firewall,user_lan,low,public,1,1,6.3,0.529,1,0,435,1,702,10,16,11,full,73.1,critical
A01265,database,user_lan,low,restricted,1,1,4.6,0.594,0,0,0,0,23,7,23,5,full,63.6,high
A01266,cloud_vm,cloud,low,internal,1,0,7.6,0.443,0,0,0,0,165,9,27,6,full,55.9,high
A01267,server,dmz,medium,confidential,1,0,5.7,0.475,0,0,0,0,439,6,18,5,partial,62.1,high
A01268,firewall,cloud,high,public,1,0,8.7,0.266,0,0,0,0,39,8,23,2,partial,69.4,high
A01269,database,dmz,low,confidential,0,0,5.6,0.228,0,0,0,0,15,6,8,3,full,16.3,low
A01270,database,dmz,low,restricted,1,1,7.0,0.37,0,0,0,0,287,7,34,6,full,65.5,high
A01271,firewall,user_lan,medium,restricted,1,0,6.4,0.179,0,0,0,0,59,6,20,3,partial,61.3,high
A01272,workstation,server_lan,medium,restricted,0,0,9.2,0.429,0,0,0,0,452,6,5,1,partial,52.1,high
A01273,workstation,user_lan,critical,public,0,0,8.1,0.419,0,0,0,0,31,3,11,2,full,34.6,medium
A01274,web_app,dmz,low,confidential,1,0,3.8,0.309,0,0,0,0,29,8,17,2,full,39.1,medium
A01275,server,dmz,low,internal,1,0,4.7,0.128,0,0,0,0,416,9,22,2,full,40.5,medium
A01276,workstation,cloud,medium,public,0,0,7.9,0.403,1,1,583,1,55,6,9,5,partial,57.1,high
A01277,server,server_lan,low,public,1,0,8.0,0.436,0,0,0,0,386,9,23,1,partial,42.7,medium
A01278,server,user_lan,low,restricted,1,1,8.6,0.201,0,0,0,0,15,6,18,5,partial,77.8,critical
A01279,cloud_vm,cloud,medium,confidential,1,0,6.3,0.423,0,0,0,0,29,8,21,5,full,55.7,high
A01280,web_app,dmz,medium,public,1,1,7.3,0.26,0,0,0,0,708,11,24,4,partial,76.4,critical
A01281,workstation,cloud,low,restricted,1,0,5.6,0.215,0,0,0,0,1,6,32,2,full,61.4,high
A01282,workstation,server_lan,medium,confidential,0,1,4.8,0.205,0,0,0,0,22,4,7,1,full,31.4,medium
A01283,workstation,server_lan,medium,internal,0,0,6.4,0.419,0,0,0,0,42,5,10,2,full,6.2,low
A01284,web_app,dmz,low,internal,1,0,7.3,0.461,0,0,0,0,81,9,19,7,partial,67.8,high
A01285,firewall,cloud,high,confidential,0,1,5.5,0.466,0,0,0,0,367,3,8,0,full,50.4,medium
A01286,firewall,user_lan,low,confidential,1,1,5.7,0.498,0,0,0,0,115,8,20,8,full,63.4,high
A01287,workstation,user_lan,critical,internal,0,0,7.1,0.193,0,0,0,0,198,2,5,1,full,20.7,low
A01288,workstation,ot,critical,internal,1,0,7.8,0.252,0,0,0,0,18,10,21,2,partial,75.4,critical
A01289,workstation,server_lan,medium,public,1,0,5.4,0.291,0,0,0,0,17,11,21,2,full,39.8,medium
A01290,database,cloud,low,internal,1,1,4.7,0.086,0,0,0,0,659,12,23,3,none,73.3,critical
A01291,database,user_lan,high,internal,0,1,6.6,0.665,0,0,0,0,54,2,8,1,full,25.8,medium
A01292,web_app,ot,medium,internal,1,1,5.2,0.333,0,0,0,0,342,15,25,3,none,93.6,critical
A01293,database,ot,low,internal,1,1,6.0,0.197,0,0,0,0,19,12,18,1,none,75.7,critical
A01294,workstation,ot,medium,confidential,1,1,4.7,0.316,0,0,0,0,10,5,24,3,none,74.6,critical
A01295,workstation,dmz,medium,internal,1,0,4.3,0.791,0,0,0,0,677,7,28,3,partial,73.4,critical
A01296,workstation,cloud,high,internal,0,0,8.3,0.177,0,0,0,0,55,4,4,1,full,21.4,low
A01297,server,cloud,high,public,1,0,8.0,0.115,0,0,0,0,34,7,20,5,partial,74.8,critical
A01298,server,user_lan,high,restricted,1,1,5.8,0.799,0,0,0,0,519,10,23,2,full,81.7,critical
A01299,web_app,server_lan,high,internal,0,1,7.8,0.202,0,0,0,0,301,3,6,0,full,38.8,medium
A01300,workstation,ot,high,internal,1,1,5.7,0.248,0,0,0,0,592,9,20,7,partial,87.3,critical
A01301,server,server_lan,medium,public,1,0,7.1,0.308,0,0,0,0,7,11,18,6,full,51.0,medium
A01302,database,user_lan,critical,confidential,1,1,6.9,0.481,0,0,0,0,340,9,16,5,full,88.3,critical
A01303,cloud_vm,user_lan,critical,internal,0,1,8.1,0.183,1,1,122,1,27,2,6,2,full,36.7,medium
A01304,workstation,server_lan,high,internal,0,0,8.5,0.229,0,0,0,0,17,3,8,1,full,12.8,low
A01305,cloud_vm,cloud,high,restricted,1,1,5.6,0.247,0,0,0,0,22,6,23,5,full,73.3,critical
A01306,firewall,dmz,medium,confidential,1,0,5.6,0.305,0,0,0,0,682,12,27,2,full,57.0,high
A01307,web_app,user_lan,low,internal,0,0,5.4,0.275,0,0,0,0,692,4,6,0,full,17.0,low
A01308,web_app,cloud,high,internal,1,0,6.5,0.203,0,0,0,0,3,7,25,6,partial,67.5,high
A01309,server,server_lan,low,restricted,0,1,4.6,0.476,0,0,0,0,36,4,10,1,partial,31.0,medium
A01310,firewall,user_lan,low,restricted,1,0,7.0,0.274,0,0,0,0,18,4,27,2,none,70.7,high
A01311,workstation,server_lan,medium,confidential,0,0,2.7,0.5,0,0,0,0,12,6,11,0,full,11.2,low
A01312,firewall,cloud,medium,confidential,0,1,4.9,0.538,1,0,10,1,58,5,5,4,full,54.0,high
A01313,database,ot,medium,restricted,0,1,8.1,0.234,0,0,0,0,37,5,14,1,partial,55.2,high
A01314,server,server_lan,low,restricted,1,1,8.4,0.689,0,0,0,0,662,10,22,1,partial,71.8,high
A01315,server,user_lan,low,public,0,1,7.8,0.395,0,0,0,0,30,6,8,0,full,19.1,low
A01316,web_app,user_lan,low,restricted,0,0,7.7,0.36,0,0,0,0,191,4,5,2,full,32.2,medium
A01317,database,user_lan,medium,confidential,1,0,6.7,0.246,0,0,0,0,288,3,26,4,partial,49.9,medium
A01318,server,user_lan,low,confidential,1,1,8.6,0.333,0,0,0,0,15,7,25,4,full,48.4,medium
A01319,cloud_vm,user_lan,high,internal,0,1,6.8,0.269,0,0,0,0,478,5,7,1,full,28.1,medium
A01320,cloud_vm,user_lan,low,internal,0,1,7.1,0.716,1,0,101,1,52,5,7,3,partial,60.1,high
A01321,database,server_lan,medium,confidential,0,0,6.2,0.293,0,0,0,0,580,4,10,0,full,29.4,medium
A01322,database,server_lan,medium,confidential,1,1,6.1,0.415,0,0,0,0,65,8,23,4,full,72.1,high
A01323,server,cloud,medium,public,1,1,6.4,0.208,0,0,0,0,706,9,28,0,full,50.4,medium
A01324,cloud_vm,dmz,high,confidential,1,1,3.8,0.219,0,0,0,0,155,6,25,4,full,79.3,critical
A01325,workstation,user_lan,low,public,0,0,6.9,0.347,0,0,0,0,4,4,12,2,partial,8.0,low
A01326,cloud_vm,server_lan,medium,internal,0,0,5.2,0.083,0,0,0,0,360,3,7,0,partial,6.8,low
A01327,workstation,cloud,high,confidential,1,1,7.8,0.142,0,0,0,0,645,5,27,5,full,58.8,high
A01328,database,user_lan,low,confidential,0,1,6.4,0.339,0,0,0,0,5,11,9,2,full,25.5,medium
A01329,workstation,server_lan,high,public,0,0,7.4,0.404,0,0,0,0,42,4,7,2,partial,23.9,medium
A01330,server,server_lan,critical,public,1,1,9.5,0.279,0,0,0,0,298,11,26,0,partial,77.6,critical
A01331,cloud_vm,user_lan,medium,internal,0,0,7.0,0.353,0,0,0,0,55,7,6,0,full,15.6,low
A01332,database,ot,critical,confidential,1,0,7.8,0.475,0,0,0,0,47,9,28,2,none,88.5,critical
A01333,database,user_lan,medium,restricted,0,1,8.3,0.315,1,1,227,1,44,1,12,6,partial,79.2,critical
A01334,firewall,user_lan,medium,confidential,0,0,5.0,0.232,0,0,0,0,18,5,9,1,full,0.8,low
A01335,firewall,cloud,low,confidential,0,0,6.1,0.149,0,0,0,0,667,8,8,0,full,12.1,low
A01336,cloud_vm,server_lan,low,internal,0,1,8.9,0.387,1,1,334,1,195,8,7,5,full,84.4,critical
A01337,server,user_lan,low,public,0,0,5.5,0.645,0,0,0,0,12,7,13,2,full,18.8,low
A01338,web_app,server_lan,medium,restricted,1,0,6.9,0.337,0,0,0,0,524,6,16,3,none,65.1,high
A01339,cloud_vm,server_lan,medium,internal,0,0,2.3,0.085,0,0,0,0,225,3,13,1,full,9.6,low
A01340,workstation,user_lan,low,public,1,0,6.0,0.442,0,0,0,0,25,11,24,2,full,21.6,low
A01341,server,cloud,medium,internal,0,0,7.4,0.497,0,0,0,0,142,5,11,2,full,33.0,medium
A01342,cloud_vm,ot,low,confidential,1,0,2.8,0.461,0,0,0,0,67,12,12,2,full,34.1,medium
A01343,database,cloud,medium,internal,0,1,5.6,0.238,0,0,0,0,646,8,10,1,full,46.9,medium
A01344,database,user_lan,low,public,1,0,7.7,0.115,0,0,0,0,44,8,24,3,full,25.2,medium
A01345,firewall,server_lan,high,confidential,0,0,6.6,0.291,0,0,0,0,56,4,11,0,partial,28.1,medium
A01346,web_app,user_lan,medium,public,0,0,7.8,0.363,0,0,0,0,605,5,7,1,partial,40.5,medium
A01347,workstation,ot,high,internal,0,0,5.3,0.281,0,0,0,0,4,7,5,2,none,41.9,medium
A01348,workstation,cloud,low,confidential,0,1,6.3,0.358,0,0,0,0,365,2,1,2,full,39.0,medium
A01349,workstation,user_lan,medium,restricted,0,1,3.0,0.264,0,0,0,0,20,6,7,1,full,28.1,medium
A01350,server,user_lan,critical,internal,1,1,5.6,0.424,0,0,0,0,449,10,18,2,full,86.4,critical
A01351,cloud_vm,cloud,low,public,1,1,7.5,0.385,1,0,495,1,93,11,17,11,partial,85.4,critical
A01352,cloud_vm,ot,medium,internal,1,1,8.7,0.219,0,0,0,0,59,10,25,5,none,89.4,critical
A01353,workstation,cloud,low,internal,1,1,4.4,0.559,0,0,0,0,508,11,17,2,partial,55.0,high
A01354,workstation,user_lan,low,restricted,0,0,4.0,0.478,1,1,156,0,10,2,16,3,partial,34.3,medium
A01355,cloud_vm,server_lan,medium,confidential,1,1,8.0,0.497,0,0,0,0,254,11,26,3,partial,93.4,critical
A01356,server,user_lan,low,internal,1,1,7.4,0.316,0,0,0,0,655,11,19,1,full,45.7,medium
A01357,database,server_lan,medium,confidential,0,0,6.1,0.087,0,0,0,0,56,9,10,0,full,19.2,low
A01358,database,ot,critical,internal,1,1,8.8,0.433,0,0,0,0,44,6,21,4,none,100.0,critical
A01359,web_app,user_lan,low,internal,1,0,7.8,0.583,0,0,0,0,11,2,22,4,full,49.0,medium
A01360,server,user_lan,low,restricted,1,0,6.4,0.17,0,0,0,0,39,13,20,4,partial,50.6,medium
A01361,web_app,server_lan,high,public,1,1,8.2,0.379,0,0,0,0,43,10,32,7,full,79.6,critical
A01362,workstation,user_lan,medium,internal,0,0,8.9,0.282,0,0,0,0,49,5,3,1,full,20.6,low
A01363,web_app,user_lan,critical,restricted,0,1,9.0,0.57,0,0,0,0,100,4,7,1,none,72.2,critical
